"gene","constitutiveexons","ESTcount","alt3EST","alt5EST","alt3.5EST","GeneLength","TranscriptCount","GCcontent","NumJunctions","IntronicLength"
"HMGA1",5,5627,24,500,0,9358,6,57.83,30,7037
"TPMT",8,632,4,3,0,26763,1,41.46,8,23591
"VARS2",30,1307,22,3,0,18217,13,53.81,219,9808
"TAF8",8,293,2,0,0,36948,10,45.88,58,27675
"TLR2",2,15,7,5,1,4199,1,39.33,0,68634
"TTC29",13,339,0,0,0,239244,9,36.5,72,235930
"MYO7A",51,377,6,3,0,86975,11,55.05,244,76889
"IL18BP",7,106,2,2,1,7174,14,57.03,51,2856
"NUMA1",31,1415,3,1,0,77829,34,46.62,261,62655
"LRRC32",3,53,0,0,0,13223,5,56.19,10,8768
"NARS2",12,287,1,0,0,138913,7,38.77,47,135774
"TTPA",3,26,0,0,0,37500,2,38.43,5,35117
"NEK1",34,385,0,0,0,219772,9,37.07,188,211634
"SORL1",46,895,0,0,0,181490,13,43.56,172,162093
"TRPC6",11,99,0,0,0,420998,7,37.74,47,415475
"MMP20",10,29,0,0,0,48497,3,39.65,15,45960
"CFAP300",1,36,0,0,0,71935.7808864588,7.97085853885528,46.5924284550954,50,68634
"YAP1",7,102,0,7,0,122962,11,38.63,50,116677
"SLC37A4",12,564,1,7,1,6792,20,55.91,109,609
"BTG4",5,15,0,0,0,44828,3,37.15,12,43034
"RDX",18,639,5,2,0,121842,18,39.96,129,115274
"PPP2R1B",16,886,0,0,0,39519,12,44.57,111,32818
"FXYD2",11,519,4,2,1,27854,8,51.98,31,23947
"ALKBH8",10,131,2,1,0,63020,7,36.18,60,58530
"SQOR",1,6,0,3,0,60146,8,44.92,33,57071
"MAPKBP1",34,452,3,3,0,53421,17,49.09,259,43091
"NDUFAF1",4,41,1,0,0,15170,4,46.09,12,13386
"KIF23",23,405,2,0,0,34181,13,39.36,176,27827
"KNL1",1,23,0,0,0,70322,13,41.23,109,60099
"TUBGCP4",19,442,8,0,0,40550,12,42.65,96,29399
"SMAD6",3,24,0,0,0,80620,5,50.83,18,76115
"ADAM10",18,485,9,4,0,161171,17,37.38,77,146158
"STRA6",17,1056,26,4,0,32801,22,55.21,222,25133
"CYP19A1",16,1191,3,0,0,130553,20,44.07,105,122134
"BRDT",21,530,5,3,5,65055,21,39.43,147,60756
"ARHGAP29",24,270,1,0,0,126080,5,38.07,67,110582
"DBT",11,303,0,1,0,62915,2,39.15,17,51623
"IFT172",49,587,3,4,0,45418,18,45.51,197,37065
"SELENOI",1,35,0,0,0,87344,5,42.63,19,78832
"HADHB",18,8620,23,2,0,47298,9,41.22,91,43183
"KHK",7,233,5,0,0,14025,6,53.12,37,10975
"ADCY3",22,460,3,0,0,100670,13,50.99,76,94637
"PPM1B",4,115,0,1,0,76415,11,38.72,45,69306
"PNPT1",26,921,17,2,0,59645,7,39.78,101,54537
"DYNC2LI1",13,619,7,0,0,35971,10,37.57,81,31368
"LHCGR",9,65,1,0,0,68955,6,41.23,67,117253
"CYP1B1",1,4,1,0,0,42929,7,44.41,11,36923
"SLC5A6",19,542,0,3,0,13371,18,53.48,101,7784
"ABCG5",11,70,0,0,0,26393,4,45.18,45,22685
"PREPL",17,2458,38,0,0,45581,16,37.28,160,37446
"SLC3A1",9,206,0,0,0,46036,10,41.62,53,39513
"EMILIN1",6,85,0,1,0,7841,2,61.63,11,3891
"FBXO11",21,710,2,1,0,116477,10,39.46,132,109382
"SIX3",11,519,4,2,1,4179,1,57.2,1,1658
"LRPPRC",38,2209,2,0,0,109497,9,37.13,89,99777
"CYP2C9",7,283,2,0,0,50732,3,37.78,13,47705
"MYOF",55,989,0,1,0,175888,9,44.36,272,167448
"LBX1",11,519,4,2,1,3599,1,61.97,1,701
"ATAD1",11,480,3,0,0,89831,3,36.12,35,84741
"KIF11",21,307,0,0,0,62109,1,39.18,21,57271
"ARL3",5,391,0,0,0,40676,1,44.57,5,36838
"CEP55",8,196,3,5,0,32460,3,40.68,13,29198
"ENTPD1",12,387,1,0,0,157916,14,40.87,69,150913
"PLCE1",31,453,0,1,0,302011,4,41.18,125,325586
"RBP4",4,394,1,0,0,10057,4,49.28,15,8616
"DBR1",7,205,0,0,0,13937,4,39.44,23,10786
"DNAJC13",54,738,1,0,0,121506,8,36.8,95,112003
"FAM149B1",13,159,3,14,0,76338,8,39.89,41,69659
"ASCC1",13,868,4,2,0,121102,19,41.33,112,115533
"ZNF365",13,80,1,0,0,297819,11,40.26,38,288764
"RPS24",10,3896,0,2,0,23052,14,47.43,48,18181
"DNA2",21,213,1,1,0,58057,8,42.26,83,53074
"MYPN",24,242,2,0,0,105900,5,40.59,64,99143
"ATIC",14,2700,2,0,0,37956,14,41.16,100,34045
"SMARCAL1",17,375,0,0,0,70639,13,43.15,72,65569
"BARD1",10,189,0,2,0,84065,14,36.39,40,78009
"STAT4",28,403,3,0,0,122020,10,37.27,85,117797
"MSTN",1,6,0,0,0,7032,1,32.85,2,4213
"METTL5",6,422,1,0,0,14850,12,39.58,56,11992
"HECW2",28,176,2,0,0,399322,6,39.16,63,386662
"IDH1",8,1509,4,1,0,29847,9,41.27,46,25139
"CHRNA1",8,129,1,0,0,40343,8,44.45,43,14083
"SLC40A1",10,480,2,1,0,23179,7,38.25,27,18861
"MNS1",8,181,0,2,0,43593,3,35.19,13,41100
"USP8",20,558,0,2,0,90039,19,39.77,136,69424
"SPPL2A",14,448,0,0,0,63542,7,40.43,40,55414
"HCN4",6,24,0,0,0,49405,1,55.08,7,42185
"SEMA7A",12,586,0,0,0,25178,5,57.93,45,20883
"ARHGAP24",10,183,0,0,0,527556,12,36.75,50,519666
"FAM13A",25,658,7,0,0,385443,22,38.27,180,372257
"PRKG2",18,141,0,3,0,127747,7,37.14,99,122651
"SEC31A",29,2381,88,10,0,82505,41,38.78,501,73396
"FGF5",1,12,0,0,0,70081,5,37.24,10,64090
"IL21",3,56,0,0,0,8441,2,38.63,4,7817
"BBS7",17,325,0,0,0,46057,6,35.63,44,41247
"BMPR1B",11,134,1,1,0,400480,8,36.7,68,394184
"PRDM5",17,141,0,0,0,237951,12,37.44,84,228455
"TRPC3",11,76,0,0,0,72727,5,37.83,42,68383
"FRAS1",72,305,2,0,0,486699,7,39.75,208,467816
"SCARB2",12,670,0,1,0,75803,27,41.79,24,49484
"PPA2",12,920,1,2,0,105004,22,36.65,162,100368
"CENPE",47,354,5,0,0,92603,8,34.67,128,83208
"HADH",8,916,0,3,0,45461,23,43.13,49,42388
"EGF",22,148,0,1,0,99382,12,39.15,88,93280
"PPP3CA",14,249,0,1,0,324869,9,35.79,86,319674
"SLC39A8",10,193,2,1,0,180217,8,38.15,39,173753
"MTTP",18,241,1,0,0,60238,11,35.98,75,54861
"FBN2",63,444,1,2,0,401276,8,37.12,192,388154
"MAPK8IP3",33,428,1,2,0,64134,16,56.84,103,53878
"PDE6H",2,40,0,0,0,8843,1,39.68,3,8100
"ETV6",11,72,0,0,0,245548,5,43.19,15,238485
"KIF21A",37,592,5,0,0,150162,14,36.22,245,140058
"YARS2",3,51,1,0,0,28412,3,39.51,10,26266
"FGD4",24,206,1,0,0,246521,16,40.83,189,235920
"PLCZ1",20,174,12,6,0,54888,19,35.77,154,51520
"PRICKLE1",7,130,8,0,0,133598,21,41.36,46,126829
"NDUFA9",12,1925,1,1,0,45222,9,39.57,43,78786
"VAMP1",3,789,3,0,0,8750,8,48.87,25,5175
"CD27",4,110,0,0,0,6851,2,51.46,9,5447
"PEX5",16,735,6,5,0,29889,20,42.58,154,24420
"COL2A1",53,641,0,1,0,31521,9,55.34,163,24982
"TPH2",10,39,0,0,0,247772,6,38.97,32,240867
"PTPRQ",41,33,0,0,0,278056,10,34.84,133,262696
"DUSP6",1,21,0,0,0,6039,5,46.57,7,1411
"POC1B",10,241,0,1,0,106306,14,39.79,98,97577
"TMTC3",13,201,0,0,0,57591,4,34.6,31,50279
"SYCP3",9,85,5,0,0,10824,5,36.71,30,7000
"ASCL1",11,519,4,2,1,2830,1,51.29,1,360
"MMAB",12,544,2,0,0,20137,10,52.27,67,14542
"PDX1",11,519,4,2,1,6211,1,58.42,1,3712
"SUOX",6,555,2,8,0,9461,17,52.21,57,4459
"CCDC65",6,67,2,0,0,27730,5,47.98,29,25366
"SLC39A5",14,167,1,0,0,7797,11,54.83,48,4905
"DHH",1,6,0,0,0,5398,1,58.27,2,3465
"ACVRL1",9,104,3,0,0,16453,8,54.84,31,11424
"SMARCC2",30,1796,8,2,0,26584,15,48.99,184,18053
"BRCA2",26,123,0,4,0,84792,7,38.11,71,72955
"LPAR6",10,37,0,0,0,55137,9,36.98,21,51054
"RB1",25,714,0,0,0,178235,6,36.91,41,172094
"SETD1B",14,53,0,0,0,28404,4,56.82,49,20107
"VPS33A",13,389,0,0,0,36957,9,44.63,47,29430
"DIAPH3",29,425,0,0,0,498404,9,35.91,193,492823
"RDH12",7,66,0,0,0,32566,4,41.06,23,30220
"ESR2",14,119,1,0,0,253880,13,41.74,106,244559
"AK7",16,126,0,0,0,97316,5,44.18,26,92335
"SLC24A4",20,133,0,5,0,178902,8,47.94,121,164516
"FBLN5",12,1191,2,3,0,78575,9,47.21,51,73620
"NIPA2",10,405,2,5,0,29743,10,43.73,39,26246
"SLC12A6",24,590,9,2,0,108064,20,39.55,335,98029
"TCF12",22,1494,8,1,0,380658,28,37.17,236,371246
"SORD",7,1305,6,4,0,54081,7,45.28,35,47933
"DUOXA2",5,23,1,0,0,4100,3,58.64,14,1551
"DUOX2",36,195,2,2,0,21694,5,54.85,84,11886
"HDC",10,144,0,0,0,24079,7,46.41,41,20134
"CDAN1",26,178,1,3,0,13567,5,54.46,43,8165
"PSTPIP1",18,385,4,3,0,43973,18,56.51,164,39528
"ETFA",17,1758,2,3,0,96117,20,40.14,135,91103
"SCAPER",36,599,0,3,0,557540,23,37.7,229,545972
"MAN2C1",34,1417,19,2,0,13423,45,57.24,254,4295
"TPM1",13,3287,12,2,0,29283,33,45.06,176,20828
"IGF1R",20,237,4,0,0,315559,17,44.52,81,302080
"CYP11A1",9,556,5,1,0,29981,10,47.6,51,26503
"BBS4",17,1030,11,0,0,52297,18,40.76,175,48167
"PML",7,231,3,7,0,53139,22,47.82,105,40491
"ADAMTS17",21,114,0,0,0,370416,9,46.62,52,362643
"LINS1",1,1,0,0,0,43861,14,40.18,44,36086
"POLG",22,552,4,0,0,29663,24,49.14,75,13052
"RLBP1",7,149,2,1,0,11882,4,49.07,18,9906
"FANCI",38,970,2,8,24,73312,17,40.11,224,65584
"UNC45A",26,2542,11,0,0,23913,16,53.82,91,16435
"MCTP2",23,171,6,0,0,252414,9,38.26,110,239465
"EFL1",1,12,0,0,0,132533,10,38.04,54,127824
"PMM2",10,1395,5,0,0,60508,18,46.16,88,52876
"SLC5A2",13,55,0,0,0,7858,9,59.32,39,3401
"ARMC5",8,57,0,0,0,9086,8,58.18,42,3546
"PARN",23,1260,6,2,0,71935.7808864588,7.97085853885528,46.5924284550954,50,68634
"FTO",13,193,0,0,0,456820,23,40.2,38,405271
"UQCRC2",17,4912,5,12,0,31000,13,40.33,67,26023
"DHX38",26,1046,9,9,0,19350,14,51.51,86,13165
"ZFHX3",8,30,0,0,0,276813,4,46.45,18,259321
"KATNB1",24,990,6,3,0,21520,10,56.59,76,16945
"ADAMTS18",22,146,0,4,1,187301,9,39.76,41,180649
"GCSH",3,342,1,5,0,14487,10,43.92,18,12568
"CDH11",14,500,4,1,0,182359,19,40.38,66,172463
"NOL3",4,93,3,9,0,5581,13,58.13,36,2596
"MBTPS1",22,907,3,3,0,63145,16,45.14,70,52943
"IRF8",8,141,0,0,0,23806,11,50.02,37,18655
"RPL3L",8,105,0,0,0,13632,3,55.32,12,10885
"NDUFB10",2,218,0,3,0,2467,5,58.95,12,1399
"GALNS",14,420,1,0,0,43236,13,60.17,85,34851
"GAS8",15,196,7,0,0,25346,20,52.63,85,19747
"MYOCD",13,95,0,0,0,103059,5,41.77,42,94200
"UNC45B",18,102,1,1,2,41528,3,47.22,90,35869
"VPS53",22,450,1,1,0,213049,20,45.86,174,192183
"ARSG",12,111,1,0,0,163549,9,45.96,38,156979
"G6PC3",6,662,7,2,0,5609,8,53.16,29,1063
"CLTC",33,2360,2,11,0,77267,15,38.54,102,65466
"BCAS3",36,1825,6,6,0,715385,34,39.85,267,701331
"PTRH2",1,2,0,0,0,32990,5,39.24,8,28254
"TAF4B",14,107,2,0,0,165749,3,38.65,52,160370
"AFG3L2",18,644,0,5,0,48370,4,44.7,22,41763
"GNAL",11,229,4,0,0,196729,10,44.14,79,188302
"ASXL3",18,94,5,2,0,172615,14,36.09,85,160053
"GATA6",5,59,0,0,0,33085,2,44.76,11,29149
"GREB1L",32,128,1,0,0,283175,11,40.54,195,272639
"NPC1",23,514,1,0,0,80714,14,44.75,91,70830
"SLC13A5",10,224,7,0,0,28854,12,51.78,66,19883
"ZMYND15",13,68,1,0,0,6104,6,58.53,58,2811
"WRAP53",10,364,5,1,0,17431,10,50.13,72,12352
"PIK3R5",18,238,1,0,0,86801,20,47.52,136,79316
"TP53",12,2094,17,4,0,25771,28,48.86,105,21849
"CCDC40",21,121,3,0,0,63981,16,50.67,98,54464
"ARHGDIA",6,5034,3,49,0,3685,17,68.12,60,786
"TMC6",20,779,8,1,0,21949,24,61.98,178,13301
"CARD14",22,164,3,2,0,39339,14,54.29,133,31133
"EIF4A3",12,1479,7,3,0,11969,8,46.23,23,7010
"CSNK1D",12,1526,8,2,0,34708,26,55.31,105,23700
"TBCD",42,1809,2,3,0,71935.7808864588,7.97085853885528,46.5924284550954,50,68634
"ZNF750",1,3,2,0,0,11143,2,49.37,4,7433
"WDR45B",9,673,5,0,0,33991,10,49.34,58,30463
"DYM",18,821,12,1,0,419873,20,38.58,97,412650
"SMAD4",13,288,1,0,0,56651,17,37.94,74,103661
"TNFRSF11A",9,67,1,0,0,66005,7,44.92,17,57023
"ERBB2",30,883,0,3,0,42512,22,52.09,306,32222
"FKBP10",10,618,0,0,0,10537,9,56.18,45,6274
"TXNL4A",5,139,0,0,0,63138,12,45.6,24,57917
"CACNA1A",47,505,1,2,0,426583,59,47.43,159,406698
"BRD4",22,373,1,0,0,97026,12,50.24,66,84969
"SH3GL1",8,851,8,6,0,40177,6,57.17,38,36505
"DPP9",26,1027,6,2,0,49449,25,56.68,168,41153
"COL6A1",33,1472,2,2,0,23313,7,64.67,49,18008
"IFNAR1",9,528,1,2,0,35385,3,41.3,34,29097
"SOD1",4,2273,3,0,0,9309,4,44.51,16,7296
"COL6A2",27,2280,5,2,0,34752,8,55.88,152,29396
"SIK1",12,129,0,0,0,12613,2,56.06,15,7740
"SCYL1",17,870,15,6,0,13627,15,57.59,157,9359
"APP",23,3902,8,3,0,290578,17,39.73,179,284260
"AKT1",15,1950,11,11,0,26402,19,64.08,126,15573
"ADAMTS10",26,210,5,2,0,30493,14,54.58,137,24779
"SLC6A3",13,119,0,0,0,71935.7808864588,7.97085853885528,46.5924284550954,50,68634
"NLRP12",9,88,6,2,0,30791,6,49.43,69,25704
"ACP4",1,3,0,0,0,4809,1,58.05,18,3473
"RERE",25,275,0,1,0,465246,18,41.9,128,453775
"MMEL1",23,200,2,0,0,42351,9,54.94,97,38531
"PRDM16",15,135,4,1,0,369453,10,57.58,144,360186
"CELA2A",6,249,1,1,0,15363,3,48.28,11,13852
"PADI3",14,101,0,0,0,35135,1,51.48,15,31962
"EPHA2",15,254,0,2,0,31750,4,57.33,23,27609
"PEX14",14,949,2,3,0,158470,4,45.03,24,155487
"RPL11",4,4409,14,1,0,4646,5,46.18,15,2666
"KIAA0319L",22,836,5,4,0,124460,20,41.89,129,114860
"PLK4",14,305,4,2,0,18334,11,36.34,94,13868
"FCN3",7,207,0,1,0,5712,4,54.45,16,3550
"HSPG2",96,1022,5,0,0,115052,14,56.09,157,97453
"BCL10",1,38,0,0,0,10842,2,40.57,2,8026
"PRKACB",17,3109,1,0,0,160436,19,34.7,130,153778
"PIGK",11,677,0,2,0,130440,5,35.84,45,124938
"PTPRF",36,1178,3,3,0,98479,16,55.69,302,87805
"IGSF3",10,85,0,0,0,93356,4,46.14,32,85969
"GPR161",8,95,1,0,0,58124,10,46.83,47,46933
"TBX19",6,42,0,0,0,33386,4,42.83,17,29747
"TMCO1",8,1793,2,0,0,103462,9,39.88,42,97889
"ADCY10",35,290,3,0,0,104827,5,41.76,108,98850
"NECTIN4",1,15,0,0,0,18604,2,52.53,14,15104
"UFC1",5,995,0,2,0,6080,6,46.11,21,3812
"PPOX",13,438,19,1,0,11603,19,53.01,101,7005
"FCGR2A",5,357,67,2,3,18583,14,43.82,45,13211
"SDHC",7,719,0,0,0,61083,9,42.28,34,46931
"F13B",10,57,0,0,0,28076,2,34.07,13,25639
"PRCC",7,176,4,0,0,50207,7,46.54,26,46108
"PIGM",11,519,4,2,1,4318,1,41.28,0,68634
"CASQ1",10,289,0,0,0,11330,3,50.52,31,9166
"XPR1",13,241,0,0,0,258247,5,36.95,32,249360
"TOR1AIP1",10,800,45,1,0,42958,12,38.76,79,33336
"HMCN1",105,402,0,2,0,456398,5,35.97,233,437927
"PRUNE1",1,93,1,1,0,27293,10,46.61,51,24235
"RORC",10,323,3,3,0,25801,4,53.08,31,19496
"SF3B4",4,539,1,1,0,5027,2,48.41,7,2789
"ECM1",11,2175,18,5,0,5727,7,55.19,41,2374
"ZNF687",9,82,1,0,0,10562,7,57.99,42,4223
"TARS2",17,959,3,1,0,20245,14,48.52,93,16186
"ADAMTSL4",18,229,2,2,0,11568,6,60.13,72,5157
"CTSK",7,968,0,0,0,12115,3,43,13,10237
"RFX5",12,1260,6,37,0,6717,21,49.78,138,2144
"SELENBP1",15,1371,29,2,0,8431,19,54.96,157,4937
"POGZ",19,425,4,0,0,56741,21,41.79,182,46487
"SYT14",9,96,1,1,0,233215,9,36.49,68,220715
"KCNH1",9,47,0,1,0,457357,17,41.06,20,447705
"TAF1A",10,176,5,1,0,32031,7,36.34,69,29149
"FLG2",1,1,0,0,0,11271,1,45.81,2,2150
"TPM3",20,6345,42,10,0,39344,23,45.14,117,30993
"HAX1",6,1188,27,4,0,3364,11,49.78,51,1213
"KCNN3",7,82,0,0,0,172825,5,48.86,21,159282
"GATAD2B",10,103,0,0,0,71935.7808864588,7.97085853885528,46.5924284550954,10,68634
"RIT1",4,291,0,0,0,13596,6,43.8,21,9758
"PKLR",9,91,6,0,0,71935.7808864588,7.97085853885528,46.5924284550954,24,68634
"FLG",1,1,0,0,0,23028,1,44,2,10284
"ACTA1",5,358,3,6,0,2853,2,62.54,11,1365
"GALNT2",15,918,1,1,0,224134,5,45.94,55,216409
"LYST",53,269,2,2,0,222599,12,37.77,196,203040
"DEGS1",2,12,0,0,0,17685,5,46.06,10,15176
"FBXO28",3,214,0,0,0,47960,5,40.97,13,41921
"ARF1",5,4982,1,3,0,16552,14,52.33,52,13279
"PSEN2",12,497,9,4,1,25921,11,52.42,94,22181
"PYCR2",1,112,1,0,0,4463,9,54.97,22,866
"LBR",12,705,1,0,0,27423,8,41.69,36,22182
"REN",8,119,0,0,0,35505,2,48.56,17,10066
"SYT2",7,50,1,0,0,119821,2,50.15,16,112057
"GALM",7,269,0,0,0,75327,5,45.26,22,72547
"CAMKMT",12,194,1,0,0,410642,10,37.93,39,406673
"ABCG8",11,56,1,0,0,39502,1,45.73,12,36850
"CALM2",3,9477,3,49,0,16519,9,39.71,49,122615
"WDPCP",19,264,5,1,0,706460,17,37.72,126,694712
"ASXL2",11,143,9,0,0,144763,4,39.53,48,131755
"SNRNP200",44,2535,7,6,0,31179,8,47.58,104,20295
"TPRKB",5,174,25,4,1,8296,10,40.52,35,6256
"EXOC6B",23,220,0,0,0,650057,9,37.12,65,639898
"NPHP1",20,259,3,2,0,82755,11,39.53,138,71010
"LIPT1",3,4,0,0,0,8202,7,41.3,19,5768
"CNGA3",7,44,0,0,0,52446,5,47.34,27,48078
"AFF3",25,289,1,0,0,597320,15,41.63,138,584617
"SCN1A",26,159,0,2,0,160054,19,35.28,104,75928
"LNPK",1,1,0,0,0,78947,12,35.26,72,69842
"CDCA7",10,424,6,0,0,14177,8,43.24,63,10252
"HSPD1",11,5690,1,8,612,30156,14,42.78,60,25925
"UNC80",65,137,1,0,0,227307,8,37.57,208,208119
"ABCA12",53,301,0,0,0,206886,3,37.18,98,197523
"SUMF1",12,372,1,0,0,766467,8,39.53,56,759536
"ACKR3",1,4,0,0,0,14571,2,50.01,2,12316
"DIS3L2",23,371,4,2,0,383105,16,42.48,163,371791
"FANCD2",44,508,0,0,0,75516,13,42.77,228,67184
"GMPPA",15,970,74,4,0,8122,14,54.38,100,2796
"POMGNT2",1,1,0,0,0,26844,2,47.68,3,24179
"SLC25A38",7,449,1,1,0,14003,2,46.41,10,11860
"IQSEC1",14,125,0,0,0,175897,5,54.36,41,169034
"IL17RD",12,165,0,0,0,80324,8,45,69,70765
"SHQ1",9,397,3,0,0,112637,8,39.56,43,106812
"SLC25A26",15,566,1,1,0,254506,6,40.15,62,313422
"RABL3",7,288,0,0,0,56312,8,37.93,49,51638
"AGTR1",5,18,0,0,0,45224,9,37.38,19,41753
"MED12L",43,235,3,0,0,351375,9,38.81,117,338805
"SPATA16",9,61,1,1,0,251910,1,36.67,10,249815
"LPP",15,124,0,2,0,737387,22,39.17,67,711880
"RUBCN",1,11,0,0,0,78334,10,45.87,107,69745
"AMT",8,390,17,1,61,5978,57,54.51,108,1419
"CCDC39",22,58,0,0,0,268147,7,36.98,97,260491
"ILDR1",6,48,0,1,0,34881,5,44.11,29,31936
"EIF2B5",15,826,1,8,111,10273,16,48.78,91,543758
"AHSG",5,814,6,1,0,8395,3,47.65,15,6049
"FIP1L1",6,150,1,3,0,83218,13,35.71,145,910489
"SLC26A1",2,5,0,0,0,14367,5,58.39,8,10080
"CORIN",20,163,2,0,0,244108,11,38.52,117,234045
"SCD5",4,66,0,1,0,169318,2,43.57,10,164775
"TRMT10A",6,112,14,0,0,17323,7,35.04,34,12953
"SNCA",6,511,3,2,0,114216,13,36.12,45,110213
"TBCK",29,613,0,3,0,279896,20,35.98,220,268824
"CISD2",2,93,0,0,0,20264,3,39.45,7,17662
"ANK2",50,825,6,0,0,565631,27,37.08,388,547480
"SPATA5",14,135,5,0,0,396376,2,37.39,29,388146
"USP53",18,148,0,0,0,82930,9,36.03,65,71001
"CYP4V2",10,131,0,0,0,21936,4,42.12,23,12137
"NDUFS6",2,268,0,0,0,15205,3,48.37,6,13759
"OSMR",16,242,2,1,0,99738,5,40.64,31,92586
"PIK3R1",14,751,0,0,0,86101,16,39.22,127,75330
"RASA1",26,1217,1,1,0,124043,6,35.77,130,118839
"PPIP5K2",32,350,1,0,0,92650,17,34.29,178,75412
"BDP1",38,319,4,0,0,71935.7808864588,7.97085853885528,46.5924284550954,50,68634
"MEGF10",24,208,0,0,0,174906,10,38.94,94,165930
"ADAMTS19",22,97,0,2,0,278418,5,34.94,33,273034
"YIPF5",4,875,4,0,0,12555,6,35.8,30,8860
"ARHGAP26",26,252,0,4,1,458627,20,42.17,116,445315
"GABRB2",10,196,0,0,0,260615,9,35.96,56,252073
"FBXO38",21,587,2,2,0,58901,20,37.05,125,50206
"GLRA1",7,50,0,0,0,102329,4,41.69,37,99905
"NHP2",2,634,0,0,0,4507,6,52.15,12,3001
"KCNMB1",2,38,0,0,0,15006,2,49.36,5,8931
"TBC1D7",9,323,9,5,0,62041,21,44.56,70,50995
"FARS2",7,76,0,0,0,510536,4,41.44,16,508194
"KLHL3",16,176,1,0,0,118590,14,42.71,105,106440
"DCDC2",9,94,0,0,0,186296,3,38.69,13,181311
"PLA2G7",10,154,0,0,0,31492,2,40.97,32,28540
"DAAM2",27,354,3,1,0,112579,11,47.6,85,105114
"MLIP",12,126,0,0,0,336298,13,36.72,95,329027
"SCUBE3",22,266,4,0,0,38660,1,49.66,43,31279
"PHIP",39,676,6,0,0,142369,2,34.29,55,129156
"RARS2",22,1291,3,2,0,75625,4,38.27,29,73102
"PNLDC1",17,171,6,1,0,20455,7,48.03,36,18533
"EGFR",27,773,0,0,0,192607,11,44.57,142,224673
"MDH2",8,3640,0,10,0,19457,8,50.93,32,16031
"PSPH",10,296,31,0,0,40553,12,46.35,50,37801
"TLK2",24,551,12,0,0,156823,18,42.17,164,148271
"NCAPG2",31,837,3,0,0,73518,11,41.79,234,66566
"ASB10",5,21,0,0,0,12134,4,53.7,25,9765
"NLGN4X",7,46,0,0,0,388226,8,38.89,31,380927
"CLTRN",1,43,1,0,0,37713,1,39.96,5,36141
"SH3KBP1",18,1047,1,2,0,353626,9,43.06,106,347823
"CASK",25,527,10,2,0,408529,13,38.73,233,398012
"KDM6A",30,618,1,1,0,239425,14,38.54,159,232316
"MSN",14,842,1,0,0,153554,6,44.63,17,70325
"HDAC8",11,584,1,0,0,243587,18,40.05,107,238219
"SLC16A2",4,28,0,0,0,112456,3,43.6,13,108301
"NDUFB11",1,121,0,40,0,3288,2,52.3,4,1873
"TAF1",41,379,4,7,0,166135,20,43.38,252,155323
"NONO",13,14182,30,12,0,17976,15,44.11,98,12677
"EBP",4,273,16,0,0,7558,6,49.69,22,5155
"OGT",20,813,48,0,0,42814,11,40.6,82,33026
"IL2RG",7,337,1,0,0,4704,9,49.71,35,1949
"GCNA",1,7,0,0,0,35172,3,44.7,25,31564
"ZNF711",10,122,1,3,0,29330,3,34.34,40,24337
"DIAPH2",26,338,0,0,0,920334,5,37,130,910813
"PRPS1",7,1335,0,0,0,22602,4,41.83,26,20329
"IGSF1",26,394,5,0,0,305393,8,38.52,91,119408
"GPC3",8,542,1,3,0,450150,4,39.66,25,447447
"RBMX",12,7999,689,670,669,32760,12,43.01,68,26887
"MCPH1",13,312,1,0,0,241912,7,42.19,37,232155
"NSDHL",7,502,0,1,0,38762,3,45.97,22,36775
"RPL10",7,17396,6,7,0,19213,18,54.28,67,14372
"CSGALNACT1",14,128,0,0,0,353868,16,41.74,81,347310
"ATP6V1B2",14,2595,3,11,0,29452,6,39.51,42,21651
"GNRH1",2,9,0,0,0,5394,2,39.78,5,3635
"STAR",6,978,3,0,0,7616,4,51.57,16,3854
"PLPBP",1,138,3,0,0,17174,9,43.59,31,13753
"ERLIN2",10,317,0,1,0,22502,11,44.02,73,13051
"CRH",11,519,4,2,1,2343,1,54.27,1,802
"MRPS28",11,519,4,2,1,111572,9,37.19,21,109938
"PMP2",2,542,0,2,0,7197,2,34.13,5,3593
"DPYS",9,69,0,0,0,136729,8,41.53,18,84142
"LRP12",5,105,0,0,0,99793,7,35.69,19,90023
"RSPO2",4,44,1,0,0,184332,8,37.74,30,180227
"NDUFB9",2,799,6,0,0,29407,7,45.62,16,26785
"SLC39A4",10,155,0,0,0,7153,9,62.01,40,2131
"VLDLR",17,512,2,1,0,38219,4,41.97,39,28899
"NFIB",10,237,0,5,0,317140,22,38.29,77,307046
"CDKN2B",11,519,4,2,1,6460,3,41.28,2,2404
"CDKN2A",3,90,1,2,0,27548,14,41.19,30,23158
"SIGMAR1",4,527,6,20,0,3087,7,57.25,14,893
"CEP78",15,174,3,0,0,43628,11,37.2,92,29291
"NTRK2",19,369,8,0,0,358519,8,40.93,134,338095
"AUH",10,287,0,0,0,148098,5,38.91,32,145438
"ZNF462",14,143,5,1,0,150537,12,40.08,76,138295
"GSN",34,4587,117,12,0,125049,15,46.87,217,113983
"CRB2",11,33,0,0,0,24154,3,59.51,36,17820
"ALAD",15,918,54,0,0,15016,9,51.45,51,9861
"SURF1",7,242,0,2,0,4921,5,53.96,20,3190
"CIZ1",18,1689,56,13,0,38319,28,52.19,230,33265
"LRSAM1",24,752,3,3,0,52015,9,51.44,135,47679
"INPP5E",8,70,6,0,0,11204,2,63.05,9,7819
